Conteúdo da Mensagem; Minuta de Resposta;Assunto/Encaminhamento
Desenrola Brasil, dívida com a União, economia., Ministério da Fazenda;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Fazenda por meio do Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério da Fazenda
Seguros Privados, SUSEP;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Superintendência de Seguros Privados (SUSEP) - https://www.gov.br/susep/pt-br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Susep
"Ministério das Relações Exteriores - MRE; Relações Exteriores";"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério das Relações Exteriores (MRE) - https://www.gov.br/mre/pt-br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Itamaraty
Submissão de artigo RJP, Revista;"Prezado(a),

Incialmente, agradecemos pelo interesse em contribuir com a Revista Jurídica da Presidência  RJP.

Informamos que a RJP publica apenas artigos inéditos, que nunca tenham sido divulgados em outros meios, no todo ou em partes (blogs, sites ou outras publicações, como apresentação em Congressos).

Exigimos o ineditismo, pois os textos passarão pela análise double-blind peer review. A apresentação em Congressos fere o ineditismo e prejudica a avaliação duplo-cega pelos pareceristas, pois permite a identificação do autor.

Caso tenha interesse de enviar texto inédito, ressaltamos que a Revista só recebe artigos de autores que tenham, no mínimo, Mestrado em andamento e que os artigos publicados, das áreas do direito e das políticas públicas, são recebidos por meio de Chamadas de Trabalho, com período pré-estabelecido pela Conselho de Editoração. Ou seja, o fluxo de recebimento não é contínuo. No momento, não estamos com Chamada de Trabalhos aberta para artigos. As Chamadas serão oportunamente divulgadas por e-mail. O senhor também pode acompanhar pelas nossas redes sociais.

Siga nosso perfil @cej.saj_oficial no Instagram.

Nossas normas de submissão estão disponíveis em: https://revistajuridica.presidencia.gov.br/index.php/saj/about/submissions

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Revista Jurídica
Artigo 39 da Constituição Federal;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que a presença de duas versões do Artigo 39 no teor da Constituição da República Federativa do Brasil de 1988 no Portal da Legislação, no sítio eletrônico https://www.planalto.gov.br/ccivil_03/constituicao/constituicaocompilado.htm, se justifica pela Ação Direta de Inconstitucionalidade nº 2135, em tramitação do Supremo Tribunal Federal (STF).

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Art. 39 Constituição
Portal de Ouvidorias, Corregedorias, Acesso a Informação, Portal da Transperencia, Fala BR. CGU;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Controladoria-Geral da União (CGU) - https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";CGU
Correção, alteração, atualização de norma no Portal da Legislação;"Prezado(a) ,

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Agradecemos pela sua colaboração e informamos que sua mensagem foi encaminhada para verificação da necessidade de ajustes pela equipe responsável pelo Portal da Legislação.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação
Correção, alteração, atualização de norma no Portal da Legislação;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Agradecemos pela sua colaboração e informamos que foram realizados os ajustes necessários no Decreto nº 76.322, de 22 de setembro de 1975 -  https://www.planalto.gov.br/ccivil_03/decreto/1970-1979/d76322.htm

Orientamos que atualize a página pressionando as teclas CTRL+F5 em seu teclado para a visualização das alterações.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação
Radiodifusão, telecomunicações, 5G, correios, telebras;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério das Comunicações por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f  ou endereços indicados no website institucional - https://www.gov.br/mcom/pt-br/canais_atendimento/contact-info

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério das Comunicações
Dúvidas sobre o SOU GOV, SIAPE, SIGEPE, SIASS ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail.

Sugerimos entrar em contato diretamente com a equipe responsável pelo SOU.GOV por meio da Central SIPEC - https://www.gov.br/servidor/pt-br/canais_atendimento/central-sipec

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Central SIPEC
PNCP, MGI, Portal Nacional de Contratações Públicas;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail. Sugerimos entrar em contato diretamente com a equipe do Portal Nacional de Contratações Públicas por meio da Central de Atendimento disponível no website: https://www.gov.br/pncp/pt-br/pncp/integre-se-ao-pncp/integre-se

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Compras públicas - pregão
Intercâmbio SAJ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Esclarecemos que não há definição de data para a publicação do edital de seleção da próxima edição do Programa de Intercâmbio. Sugerimos acompanhar o instagram do Centro de Estudos Jurídicos da Presidência - @cej.saj_oficial

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Intercâmbio
Solicitação de parecer da AGU;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Advocacia-Geral da União (AGU) - https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";AGU
Registro de embarcações, ANTAQ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Transportes Aquaviários (ANTAQ) por meio do  linK: https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ANTAQ
Ministério das Cidades, Minha casa minha vida, Obras,  ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério das Cidades por meio do canal FALA.BR: https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério das Cidades
Quilombolas, cultura afrobrasileira, certificação de quilombos ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Fundação Cultural Palmares por meio do canal FALA.BR: https://falabr.cgu.gov.br/web/home ou canais indicados no site institucional https://www.gov.br/palmares/pt-br/canais_atendimento/contact-info

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Fundação Cultural Palmares
GOV BR;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail.

Sugerimos entrar em contato diretamente com a equipe responsável pelo Atendimento GOV.BR por meio do portal Governo Digital - https://www.gov.br/governodigital/pt-br/acessibilidade-e-usuario/atendimento-gov.br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Governo Digital
Polícia Rodoviária Federal, Multas de Trânsito, apreensão de veículos.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Policia Rodoviária Federal por meio do canal FALA.BR: https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Polícia Rodoviária Federal
Portal de Compras do Governo Federal. Licitações, contratos, cadastro de fornecedores, atas de registro de preços.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a equipe do Portal de Compras do Governo Federal: https://www.gov.br/compras/pt-br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Compras públicas - pregão
Ministério do Turismo, Embratur, Cadastur, turismo;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Turismo por meio do link: https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério do Turismo
Alterar ou atualizar endereço de e-mail;"Prezado(a),

Para alterar o e-mail de recebimento no sistema push , basta você cancelar o cadastro do e-mail de recebimento atual, clicando no link que consta em todas as mensagens recebidas. Veja no texto abaixo:

Este é um serviço informativo, sem cunho oficial, e não substitui a publicação no Diário Oficial da União.
A presente mensagem eletrônica é automática. Por favor, não responda.
Caso não deseje mais receber estes informativos, clique aqui para cancelar seu cadastramento.

Posteriormente, basta cadastrar seu novo endereço de e-mail no Sistema PUSH - http://www.saj.planalto.gov.br/saj/Boletins.nsf/frmInscricaoWeb?OpenForm -, que encaminha automaticamente uma mensagem com os atos normativos disponibilizados no dia.

Após realizar seu cadastro, você receberá uma mensagem do sistema para a confirmação de sua conta de e-mail. Caso não realize a confirmação, o Sistema PUSH não encaminhará as atualizações normativas.

Alertamos que uma parte significativa dos casos de não recebimento da mensagem encaminhada pelo Sistema PUSH decorre de configurações anti-spam da caixa de entrada do e-mail dos usuários. Caso não esteja recebendo, verifique sua caixa de spam e cadastre o e-mail sistema.push@saj.planalto.gov.br na lista de recebimento seguro da sua caixa de entrada.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Sistema Push
Medidas, certificação, Inmetro;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Instituto Nacional de Metrologia, Qualidade e Tecnologia (Inmetro): https://www.gov.br/inmetro/pt-br/canais_atendimento/ouvidoria/faca-sua-manifestacao

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Inmetro
Ministério do Desenvolvimento Agrário e Agricultura Familiar, MDA, Desenvolvimento agrário, reforma agrária, Plano Safra;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Desenvolvimento Agrário e Agricultura Familiar por meio do link: https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério do Desenvolvimento Agrário e Agricultura Familiar
Cursos, formação para carreiras;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Escola Nacional de Administração Pública - Enap por meio dos contatos indicados no site institucional - https://enap.gov.br/ - ou pelo  Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ENAP
Publicação na RJP, RJP;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Informamos que sua mensagem, tendo em vista o assunto, será encaminhada para a Coordenação da Revista Jurídica da Presidência (RJP), em cópia.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Revista Jurídica
Normas Técnicas, ABNT;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Associação Brasileira de Normas Técnicas (ABNT): https://abnt.org.br/atendimento/

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";ABNT
Correção, alteração, atualização de norma no Portal da Legislação;"Prezada Jussimara,

Segue solicitação sobre o Portal da Legislação para verificação e correção, caso julgue necessário.

Atenciosamente,
";Portal da Legislação - correção
Correção, alteração, atualização de norma no Portal da Legislação;"Prezado Edvaldo

Segue solicitação sobre o Portal da Legislação para verificação e correção, caso julgue necessário.

Atenciosamente,
";Portal da Legislação - correção
Pedidos de RSS, push, legislação temática.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Esclarecemos que a Resenha Diária da Legislação Federal Brasileira poder ser consultada por meio do Portal da Legislação: https://www4.planalto.gov.br/legislacao/portal-legis/resenha-diaria, pelo Push da Legislação http://www.saj.planalto.gov.br/saj/Boletins.nsf/frmInscricaoWeb?OpenForm ou pelos stories da conta de instragam oficial do Centro de Estudos Jurídicos @cej.saj_oficial

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,

";Resenha Diária
;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Instituto Nacional de Colonização e Reforma Agrária (Incra): https://falabr.cgu.gov.br/web/home

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Instituto Nacional de Colonização                            e Reforma Agrária
